parameter,scenario,output,mu_star,sigma,n_effects
social_weight_delta_norm,access_barrier_shock__perturbation,vax_willingness_T12_mean,0.006520844127118309,0.008150620141150347,6
k_incidence,access_barrier_shock__perturbation,vax_willingness_T12_mean,0.006154409060529502,0.007135546223967487,6
importation_pulse_width_ticks,access_barrier_shock__perturbation,vax_willingness_T12_mean,0.0038061775973593135,0.004516843190388558,6
distance_tracking_max_hops,access_barrier_shock__perturbation,vax_willingness_T12_mean,0.0024397257630421145,0.0022784132713001295,6
peer_pull_interactions_per_agent,access_barrier_shock__perturbation,vax_willingness_T12_mean,0.0017156432026445717,0.0019285003106311513,6
burn_in_ticks,access_barrier_shock__perturbation,vax_willingness_T12_mean,0.0016219861370331044,0.0015078212989859242,6
importation_pulse_start_tick,access_barrier_shock__perturbation,vax_willingness_T12_mean,0.0015623516228231438,0.0018676922606698369,6
norm_threshold_beta_alpha,access_barrier_shock__perturbation,vax_willingness_T12_mean,0.0007046226533523973,0.0006854831007464559,6
importation_pulse_period_ticks,access_barrier_shock__perturbation,vax_willingness_T12_mean,0.0006589254985437757,0.0006975524794363585,6
norm_response_slope,access_barrier_shock__perturbation,vax_willingness_T12_mean,0.0004176889740122647,0.00046794920032997803,6
high_degree_target_percentile,access_barrier_shock__perturbation,vax_willingness_T12_mean,0.0002414746388524236,0.0003283413316327424,6
high_exposure_target_percentile,access_barrier_shock__perturbation,vax_willingness_T12_mean,0.00017718377211804653,0.00012976714846340548,6
low_legitimacy_target_percentile,access_barrier_shock__perturbation,vax_willingness_T12_mean,0.00016621237564938456,0.00022866214627575534,6
state_update_noise_std,access_barrier_shock__shock,mask_when_pressure_high_mean,0.10190748380563737,0.1259763961318907,6
bridge_prob,access_barrier_shock__shock,mask_when_pressure_high_mean,0.029713772632822804,0.030895600772887475,6
k_social,access_barrier_shock__shock,mask_when_pressure_high_mean,0.019000340213419044,0.01128366215912722,6
state_relaxation_slow,access_barrier_shock__shock,mask_when_pressure_high_mean,0.01665538924016848,0.01852526710571743,6
state_relaxation_fast,access_barrier_shock__shock,mask_when_pressure_high_mean,0.0130281731030261,0.02304409809143027,6
incidence_alpha_protection,access_barrier_shock__shock,mask_when_pressure_high_mean,0.009586195348703086,0.010407668305141499,6
stakes_to_infection_multiplier,access_barrier_shock__shock,mask_when_pressure_high_mean,0.006325311407007205,0.007421853705235361,6
importation_outbreak_floor,access_barrier_shock__shock,mask_when_pressure_high_mean,0.005853605706001019,0.010010595564283055,6
incidence_alpha_vax,access_barrier_shock__shock,mask_when_pressure_high_mean,0.004969834616872504,0.0059184815784368155,6
incidence_gamma,access_barrier_shock__shock,mask_when_pressure_high_mean,0.004633095225889703,0.004807619702247127,6
stakes_to_fear_multiplier,access_barrier_shock__shock,mask_when_pressure_high_mean,0.004489135631849897,0.005484525951113846,6
norm_threshold_min,access_barrier_shock__shock,mask_when_pressure_high_mean,0.003378282982661555,0.003679883587097407,6
norm_threshold_max,access_barrier_shock__shock,mask_when_pressure_high_mean,0.003001327006136497,0.003613846890083284,6
community_incidence_baseline,access_barrier_shock__shock,mask_when_pressure_high_mean,0.0029048938814095018,0.002824834612963938,6
importation_targeted_local_bump,access_barrier_shock__shock,mask_when_pressure_high_mean,0.002825680293092603,0.0014929409512554489,6
importation_pulse_amplitude,access_barrier_shock__shock,mask_when_pressure_high_mean,0.00216039468137789,0.003061683797696488,6
contact_rate_multiplier,access_barrier_shock__shock,mask_when_pressure_high_mean,0.0021424582944481094,0.001917739176314667,6
k_feedback_stakes,access_barrier_shock__shock,mask_when_pressure_high_mean,0.0018059332834158544,0.002124901947583095,6
k_incidence,access_barrier_shock__shock,mask_when_pressure_high_mean,0.001789607183260286,0.0029044739120708644,6
social_weight_delta_norm,access_barrier_shock__shock,mask_when_pressure_high_mean,0.001026551142177349,0.001381115203978134,6
burn_in_ticks,access_barrier_shock__shock,mask_when_pressure_high_mean,0.0009789627704999287,0.001373733430713001,6
homophily_gamma,access_barrier_shock__shock,mask_when_pressure_high_mean,0.0008444078609433822,0.0011356228082670394,6
social_weight_delta_trust,access_barrier_shock__shock,mask_when_pressure_high_mean,0.0005391452989498032,0.0007602788053860865,6
peer_pull_interactions_per_agent,access_barrier_shock__shock,mask_when_pressure_high_mean,0.0005088343765913412,0.0004163837725498957,6
importation_pulse_width_ticks,access_barrier_shock__shock,mask_when_pressure_high_mean,0.0003762653746453755,0.0005463465847520645,6
distance_tracking_max_hops,access_barrier_shock__shock,mask_when_pressure_high_mean,0.0003400959098864102,0.0004609858739877044,6
importation_pulse_start_tick,access_barrier_shock__shock,mask_when_pressure_high_mean,0.0002262508014680975,0.000277607571810406,6
norm_response_slope,access_barrier_shock__shock,mask_when_pressure_high_mean,0.00012289733513028977,0.0001465671949188316,6
importation_pulse_period_ticks,access_barrier_shock__shock,mask_when_pressure_high_mean,0.00010698564075539707,0.00013450704899400397,6
norm_threshold_beta_alpha,access_barrier_shock__shock,mask_when_pressure_high_mean,0.00010251461166414326,0.00013939263763553008,6
high_degree_target_percentile,access_barrier_shock__shock,mask_when_pressure_high_mean,0.000033907884230070334,0.00003983779925236369,6
low_legitimacy_target_percentile,access_barrier_shock__shock,mask_when_pressure_high_mean,0.000027837925029672308,0.000033049568655026226,6
high_exposure_target_percentile,access_barrier_shock__shock,mask_when_pressure_high_mean,0.00002271007304273098,0.000033706067346748064,6
state_update_noise_std,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.32404406471956787,0.35225339267847505,6
k_social,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.1513997629253729,0.1232073381071696,6
state_relaxation_slow,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.13051185388031664,0.19898738191369875,6
bridge_prob,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.06620571277651151,0.08582461749000403,6
state_relaxation_fast,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.042890203263870795,0.047973886568844305,6
incidence_alpha_protection,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.03204728525548243,0.03840640254732393,6
incidence_alpha_vax,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.02455427498032255,0.03604320872518092,6
stakes_to_infection_multiplier,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.023508982183040313,0.030624935048262435,6
stakes_to_fear_multiplier,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.020340087594516585,0.0355872199647627,6
norm_threshold_max,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.01830804163791555,0.026467911477205525,6
k_feedback_stakes,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.01504156528015631,0.015183737794297894,6
importation_targeted_local_bump,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.01383813734576004,0.022684231326762828,6
importation_outbreak_floor,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.01335237127862617,0.018965490197218503,6
contact_rate_multiplier,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.012685235023031266,0.01632353504421732,6
norm_threshold_min,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.011103010258561122,0.01624649626992013,6
community_incidence_baseline,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.010637045110269602,0.0118593416660531,6
importation_pulse_amplitude,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.009905736741811685,0.016955744896298214,6
burn_in_ticks,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.008928612470957376,0.011501952361903774,6
incidence_gamma,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.007915198107847724,0.011220381084262408,6
social_weight_delta_trust,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.006505855923436677,0.008300300793548923,6
homophily_gamma,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.0051046202583791,0.005633295772871457,6
k_incidence,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.004608898400968932,0.007103979289099998,6
social_weight_delta_norm,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.003459431790595602,0.004546339819647293,6
importation_pulse_width_ticks,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.0024727719092254574,0.003780576118147912,6
distance_tracking_max_hops,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.0016203115434194615,0.0019309522227588265,6
peer_pull_interactions_per_agent,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.0014335361150496493,0.0017743577870347877,6
importation_pulse_start_tick,access_barrier_shock__shock,social_norms_descriptive_vax_mean,0.0010289520834033301,0.0016284907005224211,6
